流转卡号,小缸面料大类,小缸光谱0,小缸光谱1,小缸光谱2,小缸光谱3,小缸光谱4,小缸光谱5,小缸光谱6,小缸光谱7,小缸光谱8,小缸光谱9,小缸光谱10,小缸光谱11,小缸光谱12,小缸光谱13,小缸光谱14,小缸光谱15,小缸光谱16,小缸光谱17,小缸光谱18,小缸光谱19,小缸光谱20,小缸光谱21,小缸光谱22,小缸光谱23,小缸光谱24,小缸光谱25,小缸光谱26,小缸光谱27,小缸光谱28,小缸光谱29,小缸光谱30,小缸光谱31,小缸光谱32,小缸光谱33,小缸光谱34,小缸光谱35,小缸光谱36,小缸光谱37,小缸光谱38,小缸光谱39,小缸光谱40,小缸光谱41,小缸光谱42,大缸光谱0,大缸光谱1,大缸光谱2,大缸光谱3,大缸光谱4,大缸光谱5,大缸光谱6,大缸光谱7,大缸光谱8,大缸光谱9,大缸光谱10,大缸光谱11,大缸光谱12,大缸光谱13,大缸光谱14,大缸光谱15,大缸光谱16,大缸光谱17,大缸光谱18,大缸光谱19,大缸光谱20,大缸光谱21,大缸光谱22,大缸光谱23,大缸光谱24,大缸光谱25,大缸光谱26,大缸光谱27,大缸光谱28,大缸光谱29,大缸光谱30,大缸光谱31,大缸光谱32,大缸光谱33,大缸光谱34,大缸光谱35,大缸光谱36,大缸光谱37,大缸光谱38,大缸光谱39,大缸光谱40,大缸光谱41,大缸光谱42,小缸配方组合163,小缸配方组合105,小缸配方组合560,小缸配方组合351,小缸配方组合368,小缸配方组合164,小缸配方组合180,小缸配方组合112,小缸配方组合580,小缸配方组合314,小缸配方组合308,小缸配方组合561,小缸配方组合514,小缸配方组合524,小缸配方组合592,小缸配方组合357,小缸配方组合122,小缸配方组合504,小缸配方组合362,小缸配方组合175,小缸配方组合358,小缸配方组合168,小缸配方组合300,小缸配方组合512,小缸配方组合526,小缸配方组合161,小缸配方组合183,小缸配方组合367,小缸配方组合170,小缸配方组合380,小缸配方组合502,小缸配方组合124,小缸配方组合301,小缸配方组合503,小缸配方组合570,小缸配方组合125,小缸配方组合311,小缸配方组合321,小缸配方组合310,小缸配方组合506,小缸配方组合520,小缸配方组合320,小缸配方组合501,小缸配方组合160,小缸配方组合559,小缸配方组合328,小缸配方组合579,小缸配方组合304,小缸配方组合130,小缸配方组合521,小缸配方组合107,小缸配方组合150,小缸配方组合104,小缸配方组合102,小缸配方组合355,小缸配方组合530,小缸配方组合152,小缸配方组合550,小缸配方组合581,小缸配方组合551,小缸配方组合366,小缸配方组合303,小缸配方组合510,小缸配方组合377,小缸配方组合507,小缸配方组合100,小缸配方组合500,小缸配方组合381,小缸配方组合324,小缸配方组合569,小缸配方组合312,小缸配方组合363,小缸配方组合516,小缸配方组合318,小缸配方组合110,小缸配方组合376,小缸配方组合162,小缸配方组合359,小缸配方组合111,小缸配方组合378,小缸配方组合128,大缸物料代码163,大缸物料代码105,大缸物料代码560,大缸物料代码351,大缸物料代码368,大缸物料代码164,大缸物料代码180,大缸物料代码112,大缸物料代码580,大缸物料代码314,大缸物料代码308,大缸物料代码561,大缸物料代码514,大缸物料代码524,大缸物料代码592,大缸物料代码357,大缸物料代码122,大缸物料代码504,大缸物料代码362,大缸物料代码175,大缸物料代码358,大缸物料代码168,大缸物料代码300,大缸物料代码512,大缸物料代码526,大缸物料代码161,大缸物料代码183,大缸物料代码367,大缸物料代码170,大缸物料代码380,大缸物料代码502,大缸物料代码124,大缸物料代码301,大缸物料代码503,大缸物料代码570,大缸物料代码125,大缸物料代码311,大缸物料代码321,大缸物料代码310,大缸物料代码506,大缸物料代码520,大缸物料代码320,大缸物料代码501,大缸物料代码160,大缸物料代码559,大缸物料代码328,大缸物料代码579,大缸物料代码304,大缸物料代码130,大缸物料代码521,大缸物料代码107,大缸物料代码150,大缸物料代码104,大缸物料代码102,大缸物料代码355,大缸物料代码530,大缸物料代码152,大缸物料代码550,大缸物料代码581,大缸物料代码551,大缸物料代码366,大缸物料代码303,大缸物料代码510,大缸物料代码377,大缸物料代码507,大缸物料代码100,大缸物料代码500,大缸物料代码381,大缸物料代码324,大缸物料代码569,大缸物料代码312,大缸物料代码363,大缸物料代码516,大缸物料代码318,大缸物料代码D163,大缸物料代码110,大缸物料代码376,大缸物料代码162,大缸物料代码359,大缸物料代码111,大缸物料代码378,大缸物料代码128
224235,2,0.0,0.0,0.0,0.0,60.333,59.854,60.474,60.987,61.687,62.602,63.862,64.966,66.319,67.75,69.161,70.569,71.646,72.302,72.782,73.11,73.351,73.697,74.332,74.596,74.93,75.207,75.58,75.961,76.83,78.114,79.566,80.69,81.509,81.885,82.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.015,58.907,59.649,60.317,61.001,61.97,63.274,64.417,65.897,67.411,68.971,70.47,71.629,72.365,72.849,73.205,73.471,73.881,74.513,74.806,75.178,75.484,75.925,76.418,77.485,78.884,80.468,81.824,82.811,83.193,83.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224331,16,0.0,0.0,0.0,0.0,6.962,6.249,5.933,5.698,5.553,5.462,5.423,5.402,5.408,5.411,5.358,5.258,5.124,5.005,4.834,4.735,4.612,4.485,4.388,4.315,4.267,4.235,4.292,4.427,4.891,5.893,7.832,10.801,16.642,21.997,30.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779,6.16,5.726,5.523,5.395,5.299,5.256,5.237,5.239,5.233,5.17,5.066,4.938,4.826,4.655,4.555,4.436,4.325,4.23,4.154,4.097,4.06,4.108,4.249,4.718,5.647,7.582,10.557,16.293,21.687,30.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225440,25,0.0,0.0,0.0,0.0,16.518,15.862,15.649,15.562,15.471,15.389,14.733,13.903,12.863,11.971,11.487,11.42,11.583,12.08,13.072,15.325,19.67,27.594,39.515,53.259,65.385,72.301,75.255,76.732,77.785,78.86,79.853,80.612,81.357,81.642,82.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.004,15.269,15.022,14.894,14.776,14.694,14.094,13.324,12.357,11.504,11.04,10.969,11.113,11.583,12.569,14.752,18.824,26.09,37.042,50.178,62.788,70.669,74.318,76.169,77.488,78.724,79.799,80.365,81.17,81.572,82.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225482,16,0.0,0.0,0.0,0.0,4.596,4.147,3.976,3.82,3.785,3.848,3.973,4.142,4.417,4.749,5.208,5.668,6.21,6.787,7.346,7.818,8.249,8.487,8.663,8.762,8.803,8.822,8.956,9.244,10.225,12.034,15.207,19.551,26.878,33.038,42.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.435,3.958,3.783,3.637,3.608,3.676,3.808,3.992,4.272,4.62,5.095,5.563,6.101,6.684,7.227,7.703,8.139,8.364,8.535,8.639,8.684,8.711,8.853,9.151,10.151,11.954,15.126,19.537,27.102,33.409,43.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225824,2,0.0,0.0,0.0,0.0,10.703,10.032,9.573,9.341,9.383,9.738,10.647,11.798,13.463,15.612,18.775,23.19,28.61,34.875,41.269,46.79,51.252,54.854,58.332,60.642,61.952,62.546,62.803,62.911,63.984,66.232,69.683,73.451,77.419,78.91,80.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.116,8.397,7.952,7.74,7.76,8.025,8.789,9.763,11.236,13.123,15.972,20.018,25.133,31.172,37.454,42.95,47.544,51.435,55.41,58.348,60.172,61.077,61.414,61.584,62.728,65.098,68.843,73.085,77.977,79.864,82.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225945,2,0.0,0.0,0.0,0.0,1.955,1.923,1.92,1.865,1.839,1.827,1.823,1.799,1.781,1.792,1.796,1.782,1.775,1.748,1.716,1.709,1.66,1.571,1.538,1.522,1.523,1.543,1.594,1.664,1.819,2.145,3.074,4.841,9.032,13.578,20.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.327,2.234,2.19,2.104,2.07,2.05,2.043,2.022,1.993,2.0,2.004,1.99,1.975,1.954,1.915,1.893,1.822,1.716,1.669,1.644,1.646,1.66,1.717,1.802,2.024,2.469,3.606,5.621,10.046,14.492,21.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226265,1,0.0,0.0,0.0,0.0,6.902,5.924,5.306,4.811,4.384,4.037,3.893,3.852,3.964,4.163,4.463,4.649,4.915,5.247,5.676,6.119,6.997,8.858,11.92,16.017,20.32,23.603,25.584,27.174,28.156,29.287,31.652,35.639,43.388,48.922,56.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.222,6.34,5.682,5.12,4.613,4.202,4.031,3.941,3.997,4.151,4.377,4.538,4.781,5.115,5.543,6.029,7.06,9.082,12.252,16.411,20.73,23.947,25.775,27.26,28.298,29.606,32.13,36.277,44.35,50.364,57.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
226320,2,18.096,16.745,15.621,14.72,14.18,13.605,13.296,13.163,13.256,13.632,14.282,14.919,15.631,16.569,17.969,19.417,20.721,22.638,24.784,26.064,26.244,26.371,26.638,26.864,27.061,27.173,27.306,28.527,31.385,36.119,42.006,50.292,62.073,65.673,71.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.365,11.763,11.317,11.106,11.144,11.453,12.229,13.087,14.16,15.371,16.943,18.496,19.777,20.956,21.55,21.419,21.216,22.119,24.037,25.407,25.879,25.943,25.857,25.88,26.721,28.902,33.002,38.714,47.881,54.487,63.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226699,2,0.0,0.0,0.0,0.0,7.653,7.297,7.018,6.86,6.939,7.255,8.008,8.937,10.247,11.964,14.421,17.728,21.517,25.655,29.38,31.551,33.12,36.006,40.645,44.588,46.814,47.773,48.128,48.402,49.925,53.104,58.309,64.494,71.979,74.452,77.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.966,7.414,7.168,7.001,7.043,7.308,7.999,8.857,10.1,11.702,14.025,17.145,20.706,24.592,28.117,30.225,31.708,34.282,38.303,41.647,43.437,44.105,44.327,44.476,45.75,48.721,53.895,60.413,69.057,72.623,77.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226700,2,0.0,0.0,0.0,0.0,4.325,3.966,3.927,3.926,3.908,3.856,3.559,3.203,2.875,2.613,2.448,2.389,2.43,2.521,2.739,3.121,3.897,6.153,11.583,21.379,36.031,51.771,63.07,69.602,73.213,75.604,77.409,78.738,79.663,79.939,80.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.951,3.636,3.569,3.534,3.512,3.438,3.205,2.908,2.646,2.413,2.267,2.208,2.24,2.318,2.523,2.817,3.531,5.521,10.434,19.339,32.401,47.241,59.617,68.008,72.903,75.969,78.159,79.595,81.012,81.258,81.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
